BHM,FLL,9012
BHM,HOU,17739
BHM,HPN,700
BHM,IAD,3309
BHM,IAH,14046
BHM,ISP,1549
BHM,JFK,1571
BHM,LAX,14481
BHM,LGA,18833
BHM,LGB,93
BHM,MDW,22351
BHM,MIA,5559
BHM,NYC,140
BHM,ONT,3402
BHM,ORD,14623
BHM,SNA,3470
BHM,SWF,313
BHM,WAS,76
BHM,DTW,3604
BHM,EFD,46
BHM,MCO,1105
BHM,TPA,25086
BHM,DAL,11795
BHM,BOS,1584
BHM,MHT,551
BHM,PVD,1016
BHM,PHX,203
BHM,DET,69
BHM,DTT,3
BHM,OAK,351
BHM,SFO,650
BHM,SJC,335
BHM,LAS,708
BNA,BWI,70321
BNA,DCA,32710
BNA,EWR,35358
BNA,HPN,1321
BNA,IAD,8932
BNA,ISP,7530
BNA,JFK,9631
BNA,LGA,64720
BNA,NYC,29
BNA,OAK,13853
BNA,SFO,20937
BNA,SJC,9534
BNA,SWF,1024
BNA,TPA,49489
BNA,WAS,15
BNA,BOS,38369
BNA,BUR,2940
BNA,CAK,1420
BNA,CLE,35054
BNA,DET,271
BNA,DFW,50112
BNA,DTW,18308
BNA,FLL,43167
BNA,HOU,37029
BNA,IAH,19710
BNA,LAX,64045
BNA,LGB,264
BNA,MDW,64095
BNA,MHT,10177
BNA,MIA,16144
BNA,ONT,12257
BNA,ORD,48578
BNA,PVD,15808
BNA,SNA,9698
BNA,MCO,2882
BNA,MSP,112
BNA,EFD,43
BNA,MCI,13199
BNA,DAL,15609
BNA,PHX,20830
BNA,ORF,2758
BNA,PHF,274
BNA,CMH,4748
BNA,PIE,260
BNA,CHI,4
BNA,SEA,414
BNA,SMF,141
BNA,DTT,3
BNA,LAS,1500
BOI,BUR,5061
BOI,LAX,25530
BOI,LGB,892
BOI,OAK,13784
BOI,ONT,8447
BOI,SFO,14512
BOI,SJC,13288
BOI,SNA,9129
BOI,PHX,14600
BOI,SEA,651
BOI,BWI,1520
BOI,DCA,1003
BOI,IAD,983
BOI,DAL,159
BOI,DFW,649
BOI,MDW,380
BOI,ORD,1296
BOI,LAS,883
BOS,BUF,40441
BOS,BUR,3485
BOS,BWI,131904
BOS,CAK,11777
BOS,CHI,65
BOS,CLE,40505
BOS,CLT,76649
BOS,CMH,32877
BOS,CVG,34004
BOS,DAB,1031
BOS,DAY,11144
BOS,DCA,217189
BOS,DEN,119508
BOS,DFW,122704
BOS,DTW,75380
BOS,EFD,161
BOS,EWR,111810
BOS,FLL,158433
BOS,GSO,8958
BOS,HOU,18439
BOS,HPN,1548
BOS,IAD,104056
BOS,IAH,62710
BOS,IND,32007
BOS,ISP,1537
BOS,JAX,34566
BOS,JFK,56281
BOS,LAS,102087
BOS,LAX,207480
BOS,LGA,283481
BOS,LGB,21411
BOS,MCI,35185
BOS,MCO,220624
BOS,MDW,38116
BOS,MEM,15064
BOS,MIA,89259
BOS,MKE,38930
BOS,MLB,797
BOS,MSP,93396
BOS,MSY,39882
BOS,NYC,527
BOS,OAK,19828
BOS,ONT,7988
BOS,ORD,232508
BOS,ORF,16431
BOS,PBI,95451
BOS,PDX,36058
BOS,PHF,8702
BOS,PHL,150291
BOS,PHX,75537
BOS,PIT,68808
BOS,RDU,82299
BOS,RIC,38336
BOS,ROC,18633
BOS,RSW,104560
BOS,SAN,69751
BOS,SAT,17904
BOS,SEA,80995
BOS,SFO,221140
BOS,SJC,38587
BOS,SLC,37086
BOS,SMF,15780
BOS,SNA,16369
BOS,SRQ,12592
BOS,STL,41622
BOS,SWF,48
BOS,SYR,2495
BOS,TPA,118387
BOS,TUS,7085
BOS,WAS,131
BOS,CHS,19898
BOS,ORL,1
BOS,COS,2013
BOS,EYW,226
BOS,MYR,18693
BOS,PIE,423
BOS,SDF,10010
BOS,DAL,5402
BOS,SAV,17238
BOS,GRR,2176
BOS,MSN,3036
BOS,MDT,867
BOS,OMA,7279
BOS,TTN,418
BOS,OKC,621
BOS,GSP,683
BOS,RNO,222
BOS,TYS,131
BOS,DTT,1
BTR,BWI,276
BTR,DCA,473
BTR,DFW,13189
BTR,IAD,72
